Producto,precio,PrincipioActivo,farmacia
Unipred F 1% Suspension Oftalmica – Frasco 5 ML,48.8,PREDNISOLONA ACETATO 10 mg,Hogar y Salud
Unitears 1% Solución Oftálmica Estéril – Frasco 15 ML,37.6,HIPROMELOSA 10 mg,Hogar y Salud
Unitears D Solucion Oftamica – Frasco 15 ML,40.7,"DEXTRAN 70 1 mg , HIPROMELOSA 3 mg",Hogar y Salud
Mentholatum Ungüento Lata 5 G,1.0,"SALICILATO DE METILO 0.333g, DIOXIDO DE TITANIO 0.060g, ACEITE DE EUCALIPTO 0.083g, ACEITE DE PINO 0.083g, PARAFINA 5.000g, MENTOL 1.35g, ALCANFOR 9.00g",Hogar y Salud
Fos-hepan Forte Cápsula blanda,25.0,Silimarina (como extracto de silybum marianum) 100mg | Fosfolípidos esenciales 300mg | L-glutatión 50mg | Vitamina B1 (tiamina mononitrato) 10mg | Vitamina B2 (riboflavina) 6mg | Vitamina B6 (piridoxina HCI) 10mg | Vitamina B12 (cianocobalamina) 10mg | Vitamina B3 (nicotinamida) 30mcg | Vitamina E (DL- alfa tocoferol acetato).10mg.,Hogar y Salud
Prevencel Cápsulas Blandas,33.0,No encontrado,Hogar y Salud
Sopaldine 300mg Cápsula Blanda,125.9,,Hogar y Salud
Z-Cal 1000 2% Gel – Tubo 35 G,15.8,Diclofenaco dietilamina 2.32g,Hogar y Salud
Abrilar EA 575 Jarabe – Frasco 100 ML,24.7,"Extracto seco de hojas de hiedra (Hedera helix) 0,7g",Hogar y Salud
Aciclovir 5% Crema – Tubo 5 G,3.0,Aciclovir 5%,Hogar y Salud
Aldomet 500 mg Tableta Recubierta,85.0,Metildopa 500 MG,Hogar y Salud
Amloprednil 10mg Tabletas,21.0,Amlodipino,Hogar y Salud
Artanbix 50 mg Tableta recubierta,13.3,Losartan potásico 50mg,Hogar y Salud
Assa 81 mg Tabletas con Recubierta Entérica,12.0,,Hogar y Salud
Betapress 100mg Tableta de Liberación Prolongada,114.0,,Hogar y Salud
Betapress 50mg Tableta de Liberación Prolongada,83.0,,Hogar y Salud
Cholo 2 Injektopas SL Solución Inyectable,13.5,No encontrado,Hogar y Salud
Eukene 40mg Comprimido Recubierto,125.0,Olmesartan 40 MG,Hogar y Salud
Eutirox 150mcg Tabletas,51.8,Levotiroxina sódica 150mcg,Hogar y Salud
Eutirox 88 microgramos Tableta,31.5,Levotiroxina Sódica 88mcg,Hogar y Salud
Fosliselen 3g Gránulos Para Solución Oral,38.9,Fosfomicina 3g,Hogar y Salud
Glucophage 500 Mg Comprimidos Recubiertos,16.5,Metformina 500 MG,Hogar y Salud
Glucophage 850 Mg Comprimidos Recubiertos,85.9,Metformina 850 MG,Hogar y Salud
Glucophage XR 750mg Comprimido de Liberación Prolongada,79.0,Metformina 750 MG,Hogar y Salud
Iltux 40 Mg Comprimidos Recubiertos,170.0,,Hogar y Salud
Iltux HCT 40 Mg/12.5 Mg,157.0,Olmesartan 40 MG | Hidroclorotiazida 12.5 MG,Hogar y Salud
Iltuxam 40/5mg Comprimido Recubierto,287.1,Olmesartán 40 MG | Amlodipino 5 MG,Hogar y Salud
Irrigor Plus 30 Mg/100 Mg,79.1,Nimodipino 30 MG | Citicolina 100 MG,Hogar y Salud
Isorbide 10 Mg Tabletas,79.6,Isorbide Nitrato 10 mg,Hogar y Salud
Losacor D 100 Comprimido Recubierto,135.5,Losartán 100 MG | Hidroclorotiazida 25 MG,Hogar y Salud
Mecopiron 100mg/5ml Suspensión Oral – Frasco 60 ML,9.9,,Hogar y Salud
Nabila 5mg Comprimidos,131.9,Nebivolol 5 MG,Hogar y Salud
Panadol 500Mg Tableta,1.3,,Hogar y Salud
Pasconal Forte Injektopas Solución Inyectable,13.5,"Avena sativa, Valeriana, Ignatia, Tarántula, Veratrum",Hogar y Salud
Prebictal 75mg Cápsula,65.9,,Hogar y Salud
Prednimass 5mg/5ml Solución Oral – Frasco 60 ML,17.9,No encontrado,Hogar y Salud
Preservativo Sensation Retardante Liso – Caja 3 UN,5.9,No encontrado,Hogar y Salud
Preservativo Sexe-ET espuelas – Caja 3 UN,4.2,No encontrado,Hogar y Salud
Preservativo Sexe-ET Natural – Caja 3 UN,4.2,No encontrado,Hogar y Salud
Preservativo Sexe-ET Retardante – Caja 3 UN,5.5,No encontrado,Hogar y Salud
Preservativo Sexe-ET Ultra Delgado – Caja 3 UN,4.2,No encontrado,Hogar y Salud
Tapazol 5Mg Tabletas,7.3,Tiamazol 5mg,Hogar y Salud
Venosmil 2% Gel Tópico,65.0,Hidrosmina 2%,Hogar y Salud
Biotears 0.3% – 0.1% Solución Oftálmica – Frasco 15 mL,44.7,,Hogar y Salud
Dicloptic 0.1% Solución Oftálmica – Frasco 5 mL,35.3,Diclofenaco sódico 1.0mg,Hogar y Salud
Predso 1% Suspensión Oftálmica 5Ml – Frasco 5 mL,37.5,Prednisolona 1%,Hogar y Salud
Frutenzima Forte 172mg + 80mg Comprimido Recubierto,13.0,Dimeticona 80 mg + Pancreatina 172 mg,Hogar y Salud
Xaroban 15 Mg Comprimido – Caja 15 Un,141.4,Rivaroxaban 15mg,Hogar y Salud
Xaroban 20 Mg Comprimido – Caja 15 Un,143.0,Rivaroxaban 20mg,Hogar y Salud
Zoltum 20 Mg Comprimidos – Caja 14 Un,89.1,Pantoprazol 20mg,Hogar y Salud
Apronax ® 275mg Tabletas Recubiertas,5.7,,Hogar y Salud
Bismutol 87.33mg /5ml Suspensión Oral Sin Azúcar – Frasco 150 ML,16.5,No encontrado,Hogar y Salud
Acetak 250 mg Tabletas – Caja 20 Un,52.0,Acetazolamida 250mg,Hogar y Salud
Akamoxx 0.5% Solución Oftálmica – Frasco 5 mL,77.0,moxifloxacino 0.5%,Hogar y Salud
Anaflex Mujer NF 200mg Cápsula Blanda,9.0,Ibuprofeno 200mg,Hogar y Salud
Dolmax 10mg Tableta Recubierta,22.0,KETEROLACO 10mg,Hogar y Salud
Esomeprazol 40mg Tabletas de Liberación Retardada,9.7,Esomeprazol 40 mg,Hogar y Salud
Floril 0.03% Solución Oftálmica – Frasco 15 mL,9.9,nafazolina 0.03%,Hogar y Salud
Hylo Comod 1Mg/Ml Solución Oftálmica – Frasco 10 mL,92.2,"ácido hialurónico al 0,1%",Hogar y Salud
Hylo-Dual Colirio Solución Oftálmica – Frasco 10 mL,95.5,"ectoína, hialuronato de sodio",Hogar y Salud
Lagrimas Isotónicas 1.4% Solución Oftálmica – Frasco 15 mL,22.2,Alcohol polivinilico 14.0 mg,Hogar y Salud
Lamoflox 0.5% Solución Oftálmica – Frasco 5 mL,56.9,,Hogar y Salud
Naphavit 0.1% Solución Oftálmica – Frasco 15 mL,26.4,nafazolina clorhidrato 0.1%,Hogar y Salud
Olopak 0.2% Solución Oftálmica – Frasco 5 mL,96.0,olopatadina 0.2%,Hogar y Salud
Patadine Plus 0.2% Solución Oftálmica – Frasco 5 mL,47.5,olopatadina 0.2%,Hogar y Salud
Permeafilm 1.4% Solución Oftálmica Estéril – Frasco 15 mL,16.5,alcohol polivinilico 1.4%,Hogar y Salud
Terracorsol Ungüento Oftálmico – Tubo 3.5 Gr,16.6,"oxitetraciclina, polimixina B , hidrocortisona acetato",Hogar y Salud
Tetralan 1% Ungüento Oftálmico – Tubo 6 Gr,13.3,tetraciclina 1%,Hogar y Salud
Tobrazol 0.3% Solución Oftálmica – Frasco 5 mL,41.3,tobramicina 0.3%,Hogar y Salud
Vick 44 Jarabe Sabor Cereza – Frasco 120 ml,18.7,No encontrado,Hogar y Salud
Vick BabyBalm Bálsamo para Bebé – Pote 50 G,12.2,No encontrado,Hogar y Salud
Vick VapoRub Ungüento Tópico – Pote 50 G,10.6,No encontrado,Hogar y Salud
Vick Primera Defensa Solución Nasal 15 ml,26.6,No encontrado,Hogar y Salud
Vick VapoRub Ungüento Tópico – Pote 100 G,18.5,No encontrado,Hogar y Salud
Vick VapoRub Ungüento Tópico – Lata 12 G,3.0,No encontrado,Hogar y Salud
Vitapyrena Forte Antigripal Sabor Miel y Limón – Sobre 5G,2.4,No encontrado,Hogar y Salud
Xaloptic 0.005% Solución Oftálmica – Frasco 3 mL,77.6,latanoprost 0.005%,Hogar y Salud
Atorslim 40mg Tableta Recubierta,99.1,Atorvastatina 40 MG,Hogar y Salud
Hisaler 10mg Comprimidos Recubiertos,11.0,Cetirizina diclorhidrato 10 mg,Hogar y Salud
Nastizol Compositum Forte Comprimidos,11.9,Paracetamol 500mg | Clorfenamina Maleato 4mg | Fenilefrina Clorhidrato 10mg,Hogar y Salud
Hisaler 5Mg/ 5Ml Jarabe – Frasco 60 mL,42.6,Cetirizina Diclorhidrato 5mg,Hogar y Salud
Bagomicina 100 Mg Comprimido Recubierto,60.3,,Hogar y Salud
Bagovital Inmune Polvo Sobre,7.3,No encontrado,Hogar y Salud
Bonacoxib 60 Mg Tabletas – Caja 14 Un,56.0,No encontrado,Hogar y Salud
Degraler 2.5 Mg/5 ML Jarabe – Frasco 100 mL,51.9,Levocetirizina diclorhidrato 2.5mg,Hogar y Salud
Dobesium 125Mcg Tableta,48.5,Levotiroxina 125 Mcg,Hogar y Salud
Dobesium 150Mcg Tableta,50.0,Levotiroxina Sódica,Hogar y Salud
Dobesium 75Mcg Tableta,31.0,No encontrado,Hogar y Salud
Fediral 30mg Tableta Recubierta de Liberacion Prolongada,54.7,Nifedipino 30 mg,Hogar y Salud
Flucomix 50 Mcg/Dosis Suspensión Nasal – Frasco 120 DSS,114.9,FLUTICASONA PROPIONATO 50 mg,Hogar y Salud
Furabact 500 Mg Tabletas – Caja 10 Un,60.0,No encontrado,Hogar y Salud
Glicenex SR 500 Mg Comprimido de Liberación Prolongada,41.8,Metformina 500 MG,Hogar y Salud
Micoterat 250 Mg Comprimidos,136.5,Terbinafina 250mg,Hogar y Salud
Tensiflex 300/250 Mg Comprimido Recubierto,18.3,Paracetamol 300mg | Clorzoxazona 250 mg,Hogar y Salud
Vastaslim Ez 10Mg/20Mg,77.6,Ezetimiba 10 mg / Simvastatina 20 mg,Hogar y Salud
Bactiomax 500Mg Capsulas,12.0,Amoxicilina 500 Mg,Hogar y Salud
Mecoclin 300Mg,20.0,Clindamicina 300 Mg,Hogar y Salud
Balile 75mg Capsulas,25.6,Pregabalina,Hogar y Salud
Dulcolax 5 Mg Tabletas de liberación retardada – Caja 100 Un,10.5,Bisacodilo 5mg,Hogar y Salud
Amoxidal Duo 875 Mg Tabletas,9.7,,Hogar y Salud
Apronax ® 550mg Tabletas Recubiertas,7.6,Naproxeno sódico 550mg,Hogar y Salud
Aspirina 100Mg Tabletas,7.0,,Hogar y Salud
Bepanthen® Crema – Tubo 100G,70.9,,Hogar y Salud
Bepanthen® Crema – Tubo 30G,26.1,,Hogar y Salud
BioLactol Solución Bebible,3.7,"Quinua, Soya, Cebada, Algarrobina,Agua, Sacarina sódica, Esencia de  vainilla y Lactobacillus acidophilus  (vivo). No menor de 105 UFC / mL.",Hogar y Salud
Buscapina 10 mg Gragea,13.5,Hioscina N-butilbromuro 10mg,Hogar y Salud
Canesten 1% Crema antimicótica – Tubo x 20g,15.5,,Hogar y Salud
Cosomidol Solución Oftálmica – Frasco 5 ML,45.2,Dorzolamida 2%| Timolol 0.5%,Hogar y Salud
Dequazol-R 500 mg + 100.000 UI Óvulo Vaginal – Caja 8 Un,69.8,,Hogar y Salud
Dicetel 100 Mg Tableta recubierta – Caja 14 Un,75.4,Bromuro de pinaverio 100mg,Hogar y Salud
Higabiox 500 Mg Capsulas,56.0,SILIMARINA 500MG,Hogar y Salud
Higabiox 300 Mg Capsulas,25.0,Silimarina 300mg,Hogar y Salud
Eutirox 100 Mcg Tabletas,31.3,LEVOTIROXINA SÓDICA 100mcg,Hogar y Salud
Eutirox 25 Mcg Tabletas,15.3,Levotiroxina sódica 25mcg,Hogar y Salud
Eutirox 50 Mcg Tabletas,19.9,Levotiroxina Sódica 50mcg,Hogar y Salud
Fisiodol Forte 2% Gel – Tubo 50 G,19.4,Diclofenaco 2%,Hogar y Salud
Frutti Ped Solución Oral Sabor Fresa – Frasco 500 Ml,6.5,"CITRATO DE POTASIO MONOHIDRATADO , CITRATO DE SODIO DIHIDRATADO , CLORURO DE SODIO",Hogar y Salud
Fruttiflex 50 Solución Oral Sabor Fresa – Frasco 1 L,8.5,Sacarosa 4g | Citrato de Potasio 0.29g | Cloruro de Sodio 0.12g | Cloruro de Potasio 0.15g | Cloruro de Sodio 0.12g | Sodio Citrato Dihidratado 0.29g,Hogar y Salud
Gaseovet 80 Mg Tableta Masticable,23.0,Simeticona,Hogar y Salud
Gentabiot 160mg/2ml Solucion Inyectable,10.0,No encontrado,Hogar y Salud
Gynocanesten® 1% Crema Vaginal,42.2,,Hogar y Salud
Lagosa Tabletas recubiertas – Caja 25 Un,74.0,Extracto metanólico de frutos cardo maríano seco 240.0 mg| correspondiente a Silimarina 150 mg,Hogar y Salud
Oratadina Allergy 5mg/5ml Jarabe – Frasco 60 mL,16.9,Loratadina 5mg,Hogar y Salud
Panadol 500mg Tableta efervescente,1.2,No encontrado,Hogar y Salud
Cafazolbac 1G Polvo para solución Inyectable – Caja 1 Vial + 1 Solvente,15.9,Ceftriaxona 1g,Hogar y Salud
Ambroxol 30 Mg-5 Ml Jarabe,3.8,Ambroxol 30mg/5mL,Hogar y Salud
Cefalogen 1G I.M Ampolla – Caja 1 Un,15.5,,Hogar y Salud
Bicarbonato Sodio – Pote 100 G,2.4,Bicarbonato de sodio,Hogar y Salud
Panadol Antigripal (Sob/2 Tab),2.3,,Hogar y Salud
Sifacox 400mg Capsula,45.0,No encontrado,Hogar y Salud
Tonopan 1000 – 20 Tabletas,17.5,Paracetamol 1000 mg,Hogar y Salud
Unial 0.4 % Solución Oftálmica – Frasco 10 ML,42.0,hialuronato de sodio 0.4%,Hogar y Salud
Unitob-S Suspensión oftálmica – Frasco 5 ML,51.9,,Hogar y Salud
Ketoconazol 200Mg Tabletas – Caja 100 Un,2.1,Ketoconazol 200mg,Hogar y Salud
Paracetamol Gnf 500Mg Tableta,1.0,,Hogar y Salud
Glucofervet MSM Polvo para Solucion Oral,89.9,No encontrado,Hogar y Salud
Amlodipino 10 mg Tabletas,1.6,Amlodipino 10mg,Hogar y Salud
Captopril 25Mg Tabletas,0.8,Captopril 25mg,Hogar y Salud
Ibuprofeno Gnf 800 Mg Tabletas,2.8,Ibuprofeno 800mg,Hogar y Salud
Mecoxal 500Mg Cápsulas – Caja 100 Un,15.0,Dicloxacilina 500mg,Hogar y Salud
Panadol Infantil Masticables,2.7,,Hogar y Salud
Atorvastatina 10mg Tabletas Recubiertas – Caja 100 Un,1.8,Atorvastatina 10mg,Hogar y Salud
Azmasol HFA 100Mcg Aerosol Inhalador – Frasco 200 Dosis,15.0,Salbutamol 100mcg,Hogar y Salud
Dolo Neuropress Forte Tabletas,9.6,No encontrado,Hogar y Salud
Eritromicina 500 Mg Tabletas Recubiertas,6.6,,Hogar y Salud
Orfelax 100Mg Tableta,15.0,No encontrado,Hogar y Salud
Prednisona 5mg/5ml Jarabe – Frasco 60 ML,6.7,Prednisona 5mg,Hogar y Salud
Trigliout 100Mg Tableta,33.0,No encontrado,Hogar y Salud
Trinaler 200Mg,18.0,No encontrado,Hogar y Salud
Valsartan 80 Mg Tabletas,13.5,,Hogar y Salud
Diphazosin 4 Mg XL Tableta,55.9,Doxazosina 4 Mg,Hogar y Salud
Fenacina 5 Mg Tableta Recubierta,95.4,,Hogar y Salud
Flavosex 200 Mg Tabletas Recubiertas,54.0,Flavoxato 200 Mg,Hogar y Salud
Oriflow 0.4 Mg Cápsula de Liberación Prolongada,41.0,Tamsulosina 0.4 MG,Hogar y Salud
Clidan B 1% Gel Dérmico,63.1,Clindamicina 1g |Peróxido de Benzoílo 5g,Hogar y Salud
Cloranfenicol 250 Mg-5 Ml Suspensión,8.2,Cloranfenicol 250mg,Hogar y Salud
Cloranfenicol 500 Mg Cápsula,5.9,Cloranfenicol 500mg,Hogar y Salud
Diprofeket 150 Mg Capsulas,39.9,Ketoprofeno 150 mg,Hogar y Salud
Dolomecab Tabletas – Caja 100 Un,12.0,,Hogar y Salud
Enalapril 20 Mg Tabletas – Caja 100 Un,7.5,Enalapril maleato 20mg,Hogar y Salud
Lamidizol 250mg Tabletas Recubiertas,75.0,Terbinafina 250mg,Hogar y Salud
Lavidic Long 100Mg Comprimidos Liberación Prolongada,21.0,,Hogar y Salud
Mebendazol 100 Mg Tabletas,1.0,Mebendazol 100mg,Hogar y Salud
Mecdols 550Mg Tabletas Recubiertas – Caja 100 Un,15.0,Naproxeno,Hogar y Salud
Mecoflogan 250Mg/300Mg Tabletas,20.0,,Hogar y Salud
Mecoloxib 200Mg,25.0,CELECOXIB 200mg,Hogar y Salud
Medicilina Oral,18.0,,Hogar y Salud
Menistin 16 Mg Tabletas Recubiertas,40.9,No encontrado,Hogar y Salud
Metfevril 1G/2Ml Inyectable,7.0,,Hogar y Salud
Metfor Xr 500Mg,48.0,Metformina 500 MG,Hogar y Salud
Metfor Xr 750Mg,40.0,Metformina 750 MG,Hogar y Salud
Novalgina 500Mg Tabletas,5.6,No encontrado,Hogar y Salud
Orfenadrina Citrato 100Mg Tabletas,4.9,No encontrado,Hogar y Salud
Prednisona 5mg Tableta – Caja 100 Un,7.0,Prednisona 5mg,Hogar y Salud
Profeket 100Mg/2Ml Inyectable,150.0,No encontrado,Hogar y Salud
Quitoso Plus Shampoo,1.6,Permetrina 1%,Hogar y Salud
Rinosal B 100 Mcg Dosis Spray Nasal,63.7,Budesonida 100 MCG,Hogar y Salud
Systalan Solución Oftálmica,60.8,"polietilenglicol 0.4% , propilenglicol 0.3%",Hogar y Salud
Terazosina 5 Mg Tabletas Recubiertas,5.5,Terazosina 5 mg,Hogar y Salud
Tezen 400Mg Masticables,63.5,No encontrado,Hogar y Salud
Valsartan 160 Mg Tabletas,9.3,Valsartan 160mg,Hogar y Salud
Framidex N.F. Solución Oftálmica,8.2,Framicetina sulfato 10mg| Dexametasona fosfato 1mg,Hogar y Salud
Melixflan 15Mg,18.7,No encontrado,Hogar y Salud
Mentholatum Ungüento Lata 18 G,2.9,No encontrado,Hogar y Salud
Amoxicilina Iqf 125 Mg-5 ML Polvo para Suspensión – Frasco 60 Ml,5.2,,Hogar y Salud
Angie 20 Comprimido Recubierto – Caja 28 Un,43.7,Clormadinona Acetato 2mg|Etinilestradiol 0.02mg,Hogar y Salud
Angie Comprimido Recubierto – Caja 21 Un,40.2,Clormadinona Acetato 2mg| Etinilestradiol 0.03mg,Hogar y Salud
Furazolidona 100 Mg Tabletas – Caja 100 Un,10.0,Furazolidona 100 mg,Hogar y Salud
Lactulosa 3.3g / 5ml Solución Oral – Frasco 180 ML,15.4,,Hogar y Salud
Loperamida 2 Mg Tabletas – Caja 100 Un,9.0,Loperamida clorhidrato 2mg,Hogar y Salud
Slinda 4 Mg Comprimido Recubierto – Caja 28 Un,54.0,Drospirenona 4 mg,Hogar y Salud
AB Broncol NF 1200mg/5ml Polvo para Solucion Inyectable – Caja 1 Un,26.0,No encontrado,Hogar y Salud
AB Broncol NF 300Mg Suspensión Inyectable – Frasco Vial 1 Un,25.6,Ampicilina benzatínica 200 Mg + Ampicilina sódica 50 Mg + Lidocaína 50 Mg,Hogar y Salud
AB Broncol NF 600Mg Suspensión Inyectable- Frasco Vial1 Un,27.3,,Hogar y Salud
Acaril Crema – Tubo 42 Gr,46.3,Benzoato de bencilo | Azufre,Hogar y Salud
Aceite de Ricino Solución Oral – Frasco 30 Ml,1.8,No encontrado,Hogar y Salud
Aci Basic 400mg+30mg/5ml Uva – Suspensión 150 ML,19.9,No encontrado,Hogar y Salud
Aci-Tip 800mg | 60mg/10ml Suspensión – Frasco 200 ML,23.2,"MAGALDRATO 800 mg, SIMETICONA 60 mg",Hogar y Salud
Aciclovir Fmd 5% Crema – Tubo 5 G,2.0,Aciclovir 5%,Hogar y Salud
Aciclovir Gnf 800 mg Tabletas – Caja 10 un,17.5,No encontrado,Hogar y Salud
Aciclovir 200mg Tabletas – Caja 100 Un,1.6,Aciclovir 200mg,Hogar y Salud
Aciclovir 5% Crema Tópica – Tubo 5 G,2.0,,Hogar y Salud
Acido Bórico – Pote 50 Gr,3.2,No encontrado,Hogar y Salud
Acnomel Crema – Tubo 30 Gr,21.9,No encontrado,Hogar y Salud
Aeridin 5Mg Tabletas,24.7,No encontrado,Hogar y Salud
Aero Om Anis Gotas – Frasco 15 Ml,15.8,SIMETICONA 100mg,Hogar y Salud
Aero-OM 100mg/ml Suspensión Gotas Sabor Fresa – Frasco 15 Ml,16.1,SIMETICONA 100mg,Hogar y Salud
Agua De Azahar – Frasco 120 Ml,1.1,No encontrado,Hogar y Salud
Agua De Azahar – Frasco 1L,4.8,No encontrado,Hogar y Salud
Agua De Azahar – Frasco 240 Ml,1.9,No encontrado,Hogar y Salud
Agua De Azahar – Frasco 500 Ml,6.6,No encontrado,Hogar y Salud
Agua Florida Solución – Frasco 270 Ml,10.9,No encontrado,Hogar y Salud
Agua Oxigenada 10 Volúmenes – Frasco 250 ml,2.8,No encontrado,Hogar y Salud
Ak Trol Nf Suspensión Oftálmica – Frasco 5 Ml,19.0,Neomicina 3.5mg | Polimixina B Sulfato 6000.000 UI | Dexametasona 1.000mg,Hogar y Salud
Albemax 100mg/5ml Suspension Oral – Frasco 20 Ml,11.8,Albendazol 100mg,Hogar y Salud
Albendazol Ptg – Suspension 20 Ml,2.0,Albendazol 100mg,Hogar y Salud
Albisec 33.3Mg/166.66Mg – Caja 12 Un,48.3,Secnidazol 166.66mg| Itraconazol 33.3mg,Hogar y Salud
Alcanfor Refinado Pastilla – Caja 16 Un,6.6,No encontrado,Hogar y Salud
Alcohol Medicinal 70° – Frasco 250 Ml,5.0,No encontrado,Hogar y Salud
Alcohol Medicinal 70° – Frasco 500 ml,7.7,No encontrado,Hogar y Salud
Alcohol Medicinal 96° – Frasco 500 ML,6.7,No encontrado,Hogar y Salud
Alcohol Puro 96° – Frasco 120 ML,2.9,No encontrado,Hogar y Salud
Alcohol Puro 96° – Frasco 250 ML,4.0,No encontrado,Hogar y Salud
Repriman 500 Mg Comprimido,3.0,Metamizol sódico 500mg,Hogar y Salud
Alergizer 10Mg Tabletas Recubiertas,13.0,Cetirizina Diclorhidrato 10 mg,Hogar y Salud
Alkoyodo 10% Solucion Topica – Frasco 120 Ml,12.5,Povidona yodada 10%,Hogar y Salud
Alkoyodo 7.5% Espuma Tópica – Frasco 120 Ml,10.0,Povidona yodada 7.5%,Hogar y Salud
Allegra 120 Mg Tabletas Recubiertas – Caja 10 Un,42.5,Fexofenadina Clorhidrato 120mg,Hogar y Salud
Ambrokids 15mg/5ml Solucion Oral – Frasco 120 Ml,14.9,No encontrado,Hogar y Salud
Amlodipino Gnf 5Mg Tabletas – Caja 10 Un,1.9,No encontrado,Hogar y Salud
Amlodipino 5 mg Tabletas,0.9,Amlodipino 5mg,Hogar y Salud
Amoxicilina + Ácido Clavulanico Pharg Tabletas – Caja 10 Un,13.5,Amoxicilina 500 Mg + Acido clavulánico 125 Mg,Hogar y Salud
Amoxicilina 500 mg Cápsulas,3.1,,Hogar y Salud
Amoxicilina 250 mg/5 mL Polvo para Suspensión – Frasco 60 Ml,2.9,,Hogar y Salud
Amoxicilina + Ácido Clavulánico Polvo para suspensión – Frasco 60 ml,15.5,,Hogar y Salud
Amoxidal Duo 250 Mg/5 Ml Polvo para Supensión – Frasco 90 Ml,23.3,,Hogar y Salud
Ampicilina 500 Mg Cápsulas – Caja 100 Un,28.5,Ampicilina 500 Mg,Hogar y Salud
Atenolol 100 mg Tabletas,1.2,Atenolol 100mg,Hogar y Salud
Atorvastatina 20mg Tabletas recubiertas – Caja 100 Un,1.8,Atorvastatina 20mg,Hogar y Salud
Azitromicina 200mg/5ml Polvo para suspensión oral – Frasco 15 Ml,5.5,,Hogar y Salud
Azufre Barra – Barra 6 Un,12.1,No encontrado,Hogar y Salud
Azufre Barra Zelt – Barra 2 Un,6.9,No encontrado,Hogar y Salud
Bacterol Forte – Suspension 50 Ml,10.4,No encontrado,Hogar y Salud
Bacterol Infantil – Suspension 60 Ml,18.4,No encontrado,Hogar y Salud
Bactiomax 250mg/5ml Suspension Oral – Frasco 60 Ml,16.6,Amoxicilina 250 Mg,Hogar y Salud
Bactrim 200Mg-40Mg/5Ml Polvo Para Suspensión – Frasco 100 Ml,23.2,,Hogar y Salud
Bactrim Forte 800Mg/160Mg Tabletas,5.2,,Hogar y Salud
Banes Forte 200Mg/5Ml Suspensión Oral – Frasco 60 ML,16.7,Ibuprofeno 200mg,Hogar y Salud
Belara 2Mg/0.03Mg CD – Caja 28 Un,63.1,Acetato de clormadinona 2.00mg | Etinilestradiol 0.03mg,Hogar y Salud
Bellaface 2mg | 0.03mg Tabletas recubiertas – Caja 21 Un,47.7,Dienogest 2mg| Etinilestradiol 0.03mg,Hogar y Salud
Betacort Depot Solucion Inyectable – Caja 1 Un,30.3,No encontrado,Hogar y Salud
Betaduo 1 Ml Inyección – Caja 1 Un,33.3,Betametasona Dipropionato 3mg | Betametasona Fosfato Disódico 6mg,Hogar y Salud
Betaduo 2 10mg | 4mg/2ml Suspensión inyectable – Caja 1 Un,46.5,,Hogar y Salud
Betametasona ACF 0.05% Crema Tópica – Tubo 20 G,2.6,"Betametasona 0,05%",Hogar y Salud
Betasporina 1 GR Polvo Solución Inyectable – Caja 1 Un,17.6,,Hogar y Salud
Bi Profenid 150mg Comprimido – Caja 10 Un,46.0,Ketoprofeno 150mg,Hogar y Salud
BioGaia Protectis 19mg/ml Suspensión Oral – Frasco 5 Ml,54.6,Lactobacilus Reuteri Protectis (DSM 17938) 19mg equivalente ≥ 4.7×108 UFC,Hogar y Salud
Bismecol 87.33mg/5ml Suspension Oral – Frasco 150 Ml,12.9,Bismuto Subsalicilato 87.33mg,Hogar y Salud
Bismualiv (Sob/2Tab) Tabletas Masticables,1.5,Subsalicilato de bismuto 262.5 mg,Hogar y Salud
Bismutol 262Mg (Sob/2Tab) Tabletas Masticables,1.6,Subsalicilato de Bismuto 262mg,Hogar y Salud
Bismutol 87.33Mg/5Ml – Suspension 340 Ml,24.4,No encontrado,Hogar y Salud
Bladuril 200Mg Comprimidos,52.0,No encontrado,Hogar y Salud
Brimordin 600 Mg Tabletas Efervescentes,9.2,ACETILCISTEINA 600 MG,Hogar y Salud
Brunelle 2 | 0.03 Mg Comprimido recubierto – Caja 21 Un,39.8,Clormadinona acetato 2mg | Etinilestradiol 0.03mg,Hogar y Salud
Budesma 200mcg Suspension para Inhalacion – Frasco 200 Dosis,63.0,No encontrado,Hogar y Salud
Budesonida 200Mcg Inhalador – Aerosol 200 Dosis,51.0,BUDESONIDA 200 MCG,Hogar y Salud
Buscapina Compositum N 10Mg/500Mg Comprimidos,11.8,No encontrado,Hogar y Salud
Calcibone D3 1500mg-800UI Tabletas Recubiertas – Frasco 30 Un,74.9,Citrato de calcio 1500mg|Vitamina D3 800UI,Hogar y Salud
Calcibone D3 Tabletas Recubiertas – Frasco 60 Un,129.6,Citrato de calcio 1500mg|Vitamina D3 800UI,Hogar y Salud
Cardiospirina 100EC Comprimidos con cubierta entérica – Caja 20 Un,18.0,ACIDO ACETILSALICILICO 100mg,Hogar y Salud
Cefacrol 1G Polvo para Inyección – Caja 1 Un,17.5,,Hogar y Salud
Cefadroxilo Farm 500 Mg Cápsulas,11.1,,Hogar y Salud
Ceftriaxona 1G Inyectable,3.5,,Hogar y Salud
Cefuroxima Pharg 500 Mg Tabletas – Caja 10 Un,42.0,Cefuroxima 500 Mg,Hogar y Salud
Cetirizina Fmd 10Mg Tabletas,10.0,Cetirizina 10mg,Hogar y Salud
