Productos,Precio,PrincipioActivo,Farmacias
Macho Dprost Huanarpo Tabletas. Frasco 30 UN – Tripack,149.0,No encontrado,Hogar y Salud
Magnealiv 415MG/5ML Tutti Frutti Suspensión Oral – Frasco 150 ML,7.8,No encontrado,Hogar y Salud
Magnealiv Kids Sabor Durazno – Frasco 150 ML,8.3,No encontrado,Hogar y Salud
Maite Clormadinona + etinilestradiol 2.00mg+0.03 – Caja 21 UN,36.6,No encontrado,Hogar y Salud
Mason Melatonin 500 Mcg – Frasco 60 UN,65.9,No encontrado,Hogar y Salud
Massulf 800mg/160mg Tableta,11.0,No encontrado,Hogar y Salud
Maxicef 400 Mg Comprimidos recubiertos – Caja 8 Un,96.8,No encontrado,Hogar y Salud
Mczone-1000 IM/IV – Caja 1 VIAL,11.5,No encontrado,Hogar y Salud
Mebo 0.25% Ungüento – Tubo 30 G,85.6,No encontrado,Hogar y Salud
Mecofarflex MSN Sabor Naranja – Caja 30 SOBRES,3.5,No encontrado,Hogar y Salud
Meconadol Plus 150/500mg Tabletas Recubiertas,17.0,No encontrado,Hogar y Salud
Medibeta 0.05% Crema Tópica – Tubo 20 G,15.0,No encontrado,Hogar y Salud
Medicort 4mg/2ml Solución Inyectable,8.0,No encontrado,Hogar y Salud
Medivel NF 0.75% Gel Vaginal – Tubo 40 G,55.9,No encontrado,Hogar y Salud
Mejoral Migraña 250mg + 250mg + 65mg Tableta Recubierta,2.2,No encontrado,Hogar y Salud
Melatonina 3mg Tableta,30.0,No encontrado,Hogar y Salud
Mensille 25-5mg/0.5ml Solución Inyectable – Caja 1 Un,20.9,No encontrado,Hogar y Salud
Mericox 120mg Tabletas Recubiertas – Caja 7 Un,47.7,No encontrado,Hogar y Salud
Metamucil Sabor Naranja 3.26 g / 5.8 g Polvo para Suspensión Oral,3.1,No encontrado,Hogar y Salud
Metamucil Sabor Naranja 3.26 g / 5.8 g Polvo para Suspensión Oral – Pote 174 G,44.9,No encontrado,Hogar y Salud
Metoclopramida 10 Mg Tabletas – Caja 100 UN,10.0,No encontrado,Hogar y Salud
Metoclopramida 10mg/2mL Solución Inyectable,3.1,No encontrado,Hogar y Salud
Metronidazol 500mg Solución inyectable – Caja 1 UN,6.5,No encontrado,Hogar y Salud
Micopirox 8 % Laca para Uñas – Frasco 5 mL,81.4,No encontrado,Hogar y Salud
Minot 100 Mg Cápsulas de Liberación Prolongada,68.6,No encontrado,Hogar y Salud
Moxcda 400mg Tabletas Recubiertas – Caja 10 UN,170.0,No encontrado,Hogar y Salud
Mucocar 100 Mg/5 Ml Solución Oral – Frasco 120 ML,29.3,No encontrado,Hogar y Salud
Mucomecomoxil 250mg-4mg/5ml Suspensión Oral – Frasco 60ml,14.9,No encontrado,Hogar y Salud
Mucophartoss E Solución Oral – Caja 120ml,16.5,No encontrado,Hogar y Salud
Multi 3 Max Solución Hidrazym Multiproposito – Frasco 60 ML,18.0,No encontrado,Hogar y Salud
Multi-bioticos Pastilla dura con sabores variados Naranja/Menta,2.7,No encontrado,Hogar y Salud
Multiflora Plus Cápsula,135.0,No encontrado,Hogar y Salud
Multiflora Polvo para Suspensión,73.0,No encontrado,Hogar y Salud
Mutum 150mg Cápsula – Caja 4 UN,28.0,No encontrado,Hogar y Salud
Mycofentin 1000 Mg Cápsula Blanda Vaginal – Caja 1 UN,43.1,No encontrado,Hogar y Salud
Mylanta Dos Suspensión Fresa – Frasco 240 ML,27.3,No encontrado,Hogar y Salud
Nat D 1000UI Tableta – Frasco 60 Un,51.0,No encontrado,Hogar y Salud
Neo Nisoprex 15Mg/5Ml Jarabe – Frasco 100 mL,28.0,No encontrado,Hogar y Salud
Neonypol Cápsula Blanda Vaginal,26.0,No encontrado,Hogar y Salud
Neopresol 10 mg Comprimidos,229.0,No encontrado,Hogar y Salud
Netaf 10 mg/ml Suspensión Oral Gotas – Frasco 20 ML,62.8,No encontrado,Hogar y Salud
Neumocortplus 160mcg/4.5mcg/dosis Aerosol para inhalación – Caja 1 UN,104.2,No encontrado,Hogar y Salud
Neurodioxaflex 50mg + 50mg + 50mg + 0.25mg Cápsula,19.2,No encontrado,Hogar y Salud
Neurotol 100MG Tableta Recubierta – Caja 10 UN,43.0,No encontrado,Hogar y Salud
Neurotol 25MG Tableta Recubierta – Caja 10 UN,22.0,No encontrado,Hogar y Salud
Nimodipino 30mg Tableta,9.0,No encontrado,Hogar y Salud
Nistaglos Ungüento – Tubo 30 G,43.1,No encontrado,Hogar y Salud
Nodon 5mg Tabletas,120.0,No encontrado,Hogar y Salud
Notfebril Jarabe – Frasco 60 ML,9.5,No encontrado,Hogar y Salud
Novocortil-L NF Crema – Tubo 15 G,27.4,No encontrado,Hogar y Salud
Omeprazol 40mg Polvo para Solución Inyectable,5.5,No encontrado,Hogar y Salud
Oromet 850mg Tabletas Recubiertas,100.0,No encontrado,Hogar y Salud
Oromet XR 1000mg Tableta de Liberación Prolongada,16.5,No encontrado,Hogar y Salud
Oseomec 150mg Tableta – Caja 1 Un,49.9,No encontrado,Hogar y Salud
Ovejillo Stevia Plus Líquido – Frasco 100 mL,20.0,No encontrado,Hogar y Salud
Panadol Forte (Sob/2 Tab),2.0,No encontrado,Hogar y Salud
Pantoderm Crema – Tubo 30 G,18.9,No encontrado,Hogar y Salud
Pantopranex 40mg Tableta,34.0,No encontrado,Hogar y Salud
Pepto-Bismol Sabor Cereza 525mg / 30ml Suspensión Oral – Frasco 118 ML,15.0,No encontrado,Hogar y Salud
Pepto-Bismol Sabor Cereza 525mg / 30ml Suspensión Oral – Frasco 236 ML,25.0,No encontrado,Hogar y Salud
Phyto Soya Gel vaginal – Caja 8 Un,73.7,No encontrado,Hogar y Salud
Piroxicam 20 Mg Tabletas,1.0,No encontrado,Hogar y Salud
Plidan compuesto 10mg+500mg Comprimido Recubierto – Caja 100 Un,94.0,No encontrado,Hogar y Salud
Polcem 6MG/ML Solución Oral – Frasco 10ml,22.1,No encontrado,Hogar y Salud
Portil Crema NF Portugal – Tubo 20 G,8.9,No encontrado,Hogar y Salud
Posulen 90mg Óvulos,5.0,No encontrado,Hogar y Salud
Powers’ X Gold Comprimidos – Frasco 20 UN,85.0,No encontrado,Hogar y Salud
Preservativo CLICK Clásico – Caja 3 UN,3.8,No encontrado,Hogar y Salud
Preservativo Durex Clasico – Caja 12 Un,27.9,No encontrado,Hogar y Salud
Preservativo Five Extreme – Caja 5 UN,7.8,No encontrado,Hogar y Salud
Preservativo Five Extreme. Caja 5 UN – 3×2,23.4,No encontrado,Hogar y Salud
Preservativo Five Time Efecto Retardante – Caja 5 UN,8.0,No encontrado,Hogar y Salud
Preservativo Five Time Efecto Retardante. Caja 5 UN – 3×2,24.0,No encontrado,Hogar y Salud
Preservativo Gents Retardante. Caja 3 UN – 3×2,17.7,No encontrado,Hogar y Salud
Preservativos Durex Extra Seguro – Caja 3 UN,10.5,No encontrado,Hogar y Salud
Preservativos Durex Invisible – Caja 3 UN,11.4,No encontrado,Hogar y Salud
Preservativos Durex Real Feel – Caja 3 UN,11.9,No encontrado,Hogar y Salud
Preservativos Five Hot – Caja 5 UN,7.7,No encontrado,Hogar y Salud
Preservativos Five Hot. Caja 5 UN – 3×2,23.1,No encontrado,Hogar y Salud
Preservativos Five Original – Caja 5 UN,7.9,No encontrado,Hogar y Salud
Preservativos Five Original. Caja 5 UN – 3×2,23.7,No encontrado,Hogar y Salud
Preservativos Five Skin Ultra Sensible – Caja 5 UN,7.8,No encontrado,Hogar y Salud
Preservativos Five Skin Ultra Sensible. Caja 5 UN – 3×2,23.4,No encontrado,Hogar y Salud
Preservativos Five Steel Doble Textura – Caja 5 UN,7.8,No encontrado,Hogar y Salud
Preservativos Five Steel Doble Textura. Caja 5 UN – 3×2,23.4,No encontrado,Hogar y Salud
Preservativos Five XL – Caja 5 UN,8.0,No encontrado,Hogar y Salud
Preservativos Five XL. Caja 5 UN – 3×2,24.0,No encontrado,Hogar y Salud
Preservativos Gents Clásico. Caja 3 UN – 3×2,18.0,No encontrado,Hogar y Salud
Preservativos Gents con Aros – Caja 3 UN,5.9,No encontrado,Hogar y Salud
Preservativos Gents con Aros. Caja 3 UN – 3×2,18.0,No encontrado,Hogar y Salud
Preservativos Gents con Espuelas. Caja 3 UN – 3×2,18.0,No encontrado,Hogar y Salud
Prevenil 5 Comprimido,54.0,No encontrado,Hogar y Salud
Prima Prueba de Próstata PSA – Caja 1 UN,38.0,No encontrado,Hogar y Salud
Pripax 150mg Cápsula – Caja 10 UN,39.6,No encontrado,Hogar y Salud
Procthyl 5-1% Ungüento – Tubo 20 G,37.8,No encontrado,Hogar y Salud
Promestine 1% Crema vaginal – Tubo 15 G,40.7,No encontrado,Hogar y Salud
Provera 5 Mg Tabletas,17.3,No encontrado,Hogar y Salud
Restorflora BC 5mL Ampolla Bebible,3.5,No encontrado,Hogar y Salud
Reteven CR 10 Mg Comprimidos Recubiertos – Caja 10 UN,78.5,No encontrado,Hogar y Salud
Reumafrost NF Ungüento – Pote 60 G,15.2,No encontrado,Hogar y Salud
Rhino-BB DM 0.9% Solución Gotas Nasales – Frasco 15 ML,11.5,No encontrado,Hogar y Salud
Rinokid 3% Solución Nasal para Nebulización – Frasco 25 ML,28.5,No encontrado,Hogar y Salud
Rinomar Babies Isotónico Higiene Diaria Solución para pulverización nasal – Frasco 30 ML,29.5,No encontrado,Hogar y Salud
Risperidona 2 Mg Tableta,8.0,No encontrado,Hogar y Salud
Roaccutan 10mg Cápsulas Blandas,132.7,No encontrado,Hogar y Salud
Roaccutan 20mg Cápsulas Blandas,162.0,No encontrado,Hogar y Salud
Rupafin 10mg Comprimidos,48.2,No encontrado,Hogar y Salud
Rylamax 1G Polvo Para Solución Inyectable – Caja 1 Vial + Solvente,16.9,No encontrado,Hogar y Salud
Secnizol 2g Gránulos para Solución Oral – Caja 1 Sobre,25.0,No encontrado,Hogar y Salud
Serotocaf 500mg Cápsula,20.0,No encontrado,Hogar y Salud
Shampoo Micopirox 1% Champú – Frasco 100 mL,48.2,No encontrado,Hogar y Salud
Sildenafilo 100mg Tableta Recubierta,6.0,No encontrado,Hogar y Salud
Sildenafilo 50mg Tableta Recubierta,4.7,No encontrado,Hogar y Salud
Somatinn 1mg Tabletas,6.9,No encontrado,Hogar y Salud
Spasmomen 40 Mg Tabletas Recubiertas,38.0,No encontrado,Hogar y Salud
Spasmonium 40mg Tableta Recubierta,34.0,No encontrado,Hogar y Salud
Sprainer Solución Oftálmica – Frasco 80 mL,68.5,No encontrado,Hogar y Salud
Sulconar 25mg-250mg Tableta,115.4,No encontrado,Hogar y Salud
Sulfanil 1% Crema – Tubo 20 G,12.9,No encontrado,Hogar y Salud
Sutras 20mg Tabletas,60.0,No encontrado,Hogar y Salud
Synthroid 100mcg Tabletas,32.0,No encontrado,Hogar y Salud
Synthroid 25mcg Tabletas,16.8,No encontrado,Hogar y Salud
Synthroid 75mcg Tabletas,27.5,No encontrado,Hogar y Salud
Systalan en Ocuvial Solución oftálmica estéril – Caja 30 UN,134.6,No encontrado,Hogar y Salud
TalenTum 10 MG Tableta Recubierta – Caja 30 UN,77.7,No encontrado,Hogar y Salud
Talflex Bi 150Mg Comprimidos – Caja 14 Un,56.0,No encontrado,Hogar y Salud
Tamsulosina 0.4mg Cápsulas de liberación prolongada,7.7,No encontrado,Hogar y Salud
TDN Allergy 10mg Cápsula Blanda,16.0,No encontrado,Hogar y Salud
Tensoflow 5mg Tableta Recubierta,84.0,No encontrado,Hogar y Salud
Teraliv 5mg Tabletas,10.0,No encontrado,Hogar y Salud
Thyrofix 100mcg Tableta,6.0,No encontrado,Hogar y Salud
Thyrofix 50mcg Tableta,4.6,No encontrado,Hogar y Salud
Tintura de Yodo Solución – Frasco 30 ML,3.9,No encontrado,Hogar y Salud
Tobrazol DX 0.3% + 0.1% ungüento oftálmico,50.9,No encontrado,Hogar y Salud
Tonopan Migraña 250mg +250mg + 65mg Tableta Recubierta,1.5,No encontrado,Hogar y Salud
Tonopan Niños Gotas – Frasco 15 ML,10.5,No encontrado,Hogar y Salud
Topicalm 0.05% Crema – Tubo 30 G,27.0,No encontrado,Hogar y Salud
Tretocheck 20mg Cápsulas Blandas,38.4,No encontrado,Hogar y Salud
Ursodex 300 mg Comprimidos,162.0,No encontrado,Hogar y Salud
Ursoflow 250mg Cápsulas – Caja 30 Un,143.5,No encontrado,Hogar y Salud
Valtero 500mg Tabletas Recubiertas,81.0,No encontrado,Hogar y Salud
Vanthia 10mg Tabletas,32.0,No encontrado,Hogar y Salud
Vaselina Reuter con Perfume – Lata 5 G,1.2,No encontrado,Hogar y Salud
Vaselina Reuter sin Perfume – Lata 5 G,1.0,No encontrado,Hogar y Salud
Vaselina Sólida Alkofarma – Pote 100 G,7.1,No encontrado,Hogar y Salud
Vaselina Sólida Dismed – Pote 30 G,3.3,No encontrado,Hogar y Salud
Vedipal 450mg / 50mg Comprimido recubierto – Caja 20 UN,72.0,No encontrado,Hogar y Salud
Vedipal® 1000 900Mg + 100Mg Tableta Recubierta – Caja 30 UN,174.6,No encontrado,Hogar y Salud
Velamox 250 250mg/5ml Suspensión Oral – Frasco 60 mL,22.5,No encontrado,Hogar y Salud
Ventris 5mg Tableta Recubierta,59.4,No encontrado,Hogar y Salud
Vgliptmet 50mg/1000mg Tableta Recubierta,64.2,No encontrado,Hogar y Salud
Vilzer 50mg Comprimido – Caja 30 UN,71.0,No encontrado,Hogar y Salud
Vilzermet 50-1000mg Comprimido recubierto – Caja 30 UN,75.0,No encontrado,Hogar y Salud
Violeta de Genciana Portugal 1% – Frasco 30 ML,1.6,No encontrado,Hogar y Salud
Vitamina B12 Injektopas Solución Inyectable,15.5,No encontrado,Hogar y Salud
Voltaren Emulgel 1.16% Gel – Tubo 30 G,20.6,No encontrado,Hogar y Salud
Xenda Solución Oftálmica – Frasco 3 mL,98.9,No encontrado,Hogar y Salud
Xorlyst 120mg Cápsulas,19.4,No encontrado,Hogar y Salud
Zentel 400Mg/10Ml Suspensión Oral – Frasco 10 mL,15.5,No encontrado,Hogar y Salud
Zetafex 30mg/5ml Suspensión Oral – Frasco 150 ML,60.0,No encontrado,Hogar y Salud
ZOCEF 1G Vial Solución Inyectable + 1 ampolla solvente x 3.5 mL via I.M.,16.9,No encontrado,Hogar y Salud
Aci Basic 400mg-30mg/5ml Suspensión Oral – Frasco 150 mL,19.9,No encontrado,Hogar y Salud
Alviera 0.1% Crema tópica – Tubo 30 G,59.2,No encontrado,Hogar y Salud
Amigdazol B 0.15% Solución para Pulverización Bucal,22.1,No encontrado,Hogar y Salud
Amikacina MED 500 mg/2mL Solución Inyecable,3.3,No encontrado,Hogar y Salud
Amoxicilina + Ácido Clavulánico 500mg /125mg Tabletas Recubiertas,13.0,No encontrado,Hogar y Salud
Angie CD – Caja 28 UN,48.8,No encontrado,Hogar y Salud
Assis 400 Mg-30 Mg/5 Ml Suspensión – Frasco 220 mL,28.0,No encontrado,Hogar y Salud
Atorvastatina ACF 20 mg Tableta Recubierta,2.4,No encontrado,Hogar y Salud
Bismucar Suspensión Oral Sabor Fresa – Frasco 340 mL,20.9,No encontrado,Hogar y Salud
Cefraspor 250mg/5ml Polvo para Suspensión Oral – Frasco 100 ML,85.6,No encontrado,Hogar y Salud
Cetirizina 5mg/5ml Jarabe – Frasco 60 ML,5.5,No encontrado,Hogar y Salud
Cetriler 2.5 mg/5 mL Jarabe – Frasco 60 ML,37.8,No encontrado,Hogar y Salud
Claritromicina ACF 500mg Tableta Recubierta,16.0,No encontrado,Hogar y Salud
Clavumox 250Mg + 62.5 Mg/5 Ml Polvo para Suspensión Oral – Frasco 60 ML,76.0,No encontrado,Hogar y Salud
Colchicina FMD 0.5 mg Tableta,4.5,No encontrado,Hogar y Salud
Cortiflex 0.025% Crema Tópica – Tubo 60 G,24.2,No encontrado,Hogar y Salud
Davintex 120mg Comprimidos Recubiertos,68.6,No encontrado,Hogar y Salud
Dayflu Active,13.0,No encontrado,Hogar y Salud
Deflazacort ACF 30 Mg Tabletas,32.0,No encontrado,Hogar y Salud
Deflazacort ACF 6 Mg Tabletas,12.9,No encontrado,Hogar y Salud
Detrucalm 200mg Comprimido Recubierto,46.5,No encontrado,Hogar y Salud
Dibrolax 10mg/ml Solución para gotas orales – Frasco 20 mL,43.6,No encontrado,Hogar y Salud
Dolomax 100mg/5ml Suspensión Oral – Frasco 60 ML,12.2,No encontrado,Hogar y Salud
Enalapril FMD 20 mg Tableta – Caja 100 UN,9.0,No encontrado,Hogar y Salud
Esoton 20 Mg,24.5,No encontrado,Hogar y Salud
Evaclean Polvo para Suspensión Oral,21.0,No encontrado,Hogar y Salud
Flexofytol Cápsulas blandas,153.3,No encontrado,Hogar y Salud
Funzal Twin 150 Mg Cápsulas – Caja 2 UN,28.6,No encontrado,Hogar y Salud
Ginothyl 90mg Óvulos,4.0,No encontrado,Hogar y Salud
Hidrivag Gel – Tubo 60 G,65.0,No encontrado,Hogar y Salud
Ibuprofeno 100mg/5ml Suspensión Oral – Frasco 60 ML,2.2,No encontrado,Hogar y Salud
Ladee 0.03mg/3 mg Recubierto – Caja 28 UN,30.7,No encontrado,Hogar y Salud
lafi-til7 1% Crema tópica – Tubo 15 G,27.2,No encontrado,Hogar y Salud
Lamisil 1% Crema – Tubo 15 G,29.5,No encontrado,Hogar y Salud
Lamisil 1% Solución – Frasco 30 mL,44.9,No encontrado,Hogar y Salud
Mantixa 5 5mg Comprimido recubierto,135.9,No encontrado,Hogar y Salud
Maxicef 100 Mg/ 5 Ml Polvo para Suspensión Oral – Frasco 120 ML,97.7,No encontrado,Hogar y Salud
Mecotrex 200mg/5ml Polvo Para Suspensión Oral – Frasco 30 ML,27.5,No encontrado,Hogar y Salud
Mejoral 500 mg – 30 mg Tabletas,3.0,No encontrado,Hogar y Salud
Meloxicam ACF 15mg Tabletas,3.5,No encontrado,Hogar y Salud
Mupirocina ACF 2% Ungüento – Tubo 15 G,20.1,No encontrado,Hogar y Salud
Mupirox 2% Ungüento Tópico – Tubo 15 G,25.7,No encontrado,Hogar y Salud
Naproxeno PEFA sódico 550mg Tableta recubierta,3.8,No encontrado,Hogar y Salud
Nisoprex 5 mg/5ml Suspensión oral – Frasco 120 ML,24.9,No encontrado,Hogar y Salud
Notizol B Crema – Tubo 20 G,12.4,No encontrado,Hogar y Salud
Paltomiel Infantil Jarabe – Frasco 125 mL,15.0,No encontrado,Hogar y Salud
Preservativos Durex Sensitivo Delgado – Caja 3 UN,12.0,No encontrado,Hogar y Salud
Reflexan 10mg Comprimidos Recubiertos,64.7,No encontrado,Hogar y Salud
Reflexan 5mg Coprimidos Recubiertos,30.2,No encontrado,Hogar y Salud
Repriman 500mg/ml Solución Oral Gotas – Frasco 10 ML,8.2,No encontrado,Hogar y Salud
Sildenafilo 100mg Tabletas Recubiertas,16.0,No encontrado,Hogar y Salud
Sildenafilo 50 mg Tableta recubierta,11.3,No encontrado,Hogar y Salud
Valsartan ACF 80mg Tabletas,17.4,No encontrado,Hogar y Salud
Xumer 120mg Comprimido Recubierto,49.7,No encontrado,Hogar y Salud
Aerofit 80mg/ml Suspensiòn Oral Gotas Sabor Anis – Frasco 15 ML,13.5,No encontrado,Hogar y Salud
Aerox 80Mg/Ml Fresa – Frasco 15 Ml,13.5,No encontrado,Hogar y Salud
AmoxiCLin CL 12H Polvo para Suspensión Oral – Frasco 75 ML,93.6,No encontrado,Hogar y Salud
Betapluss 0.05 % Crema – Tubo 20 G,5.7,No encontrado,Hogar y Salud
Buscamint 12 Cap Blandas,29.3,No encontrado,Hogar y Salud
Cefacrol 500 Mg Polvo para Inyectable – Caja 1 UN,19.6,No encontrado,Hogar y Salud
Cetirizina 10mg PEFA – Caja 100 UN,10.0,No encontrado,Hogar y Salud
Clotrimazol Crema ACF 1% – Tubo 20 G,2.8,No encontrado,Hogar y Salud
Coluquim 100 Mg/5 Ml Suspensión oral – Frasco 60 ML,35.5,No encontrado,Hogar y Salud
Coluquim 500mg Tableta recubierta,29.3,No encontrado,Hogar y Salud
Contravaris 100mg Cápsula,60.0,No encontrado,Hogar y Salud
Cortimex 5mg-5ml Jarabe – Frasco 120 ML,23.3,No encontrado,Hogar y Salud
Dalgiet 2mg Comprimido – Caja 28 UN,113.2,No encontrado,Hogar y Salud
Dexabron Expectorante Jarabe – Frasco 120 ML,14.4,No encontrado,Hogar y Salud
Diclofenaco FMD 1% Gel – Tubo 50 G,6.6,No encontrado,Hogar y Salud
Dienille 2/0.03mg Comprimido Recubierto – Caja 28 UN,33.4,No encontrado,Hogar y Salud
Espirone 100mg Tableta Recubierta,22.7,No encontrado,Hogar y Salud
Espirone 25 Mg Tabletas Recubiertas,10.7,No encontrado,Hogar y Salud
Fisioplus Forte 2% Gel – Tubo 50 G,20.0,No encontrado,Hogar y Salud
Flavoxato 200mg Tableta Recubierta,44.9,No encontrado,Hogar y Salud
Flucomecomax 150mg Cápsulas – Caja 2 UN,12.2,No encontrado,Hogar y Salud
Furoxinol 500mg Tableta Recubierta,65.7,No encontrado,Hogar y Salud
Gestageno 200 Cápsulas Blandas,65.7,No encontrado,Hogar y Salud
Gripamec Tabletas Recubiertas,12.0,No encontrado,Hogar y Salud
Hadensa Pomada Vía Rectal – Tubo 15 G,40.2,No encontrado,Hogar y Salud
Hemofolic Cápsula Blanda,66.9,No encontrado,Hogar y Salud
Idon 10mg/ml Suspensión Oral Gotas – Frasco 15 ML,37.3,No encontrado,Hogar y Salud
Invictus 5mg Comprimidos Recubiertos,34.0,No encontrado,Hogar y Salud
Ketesse 25mg tableta,38.8,No encontrado,Hogar y Salud
Ketorolaco 10 Mg Tableta Recubierta,7.6,No encontrado,Hogar y Salud
Mesames Mini 24 Comprimidos Recubiertos – Caja 28 UN,25.5,No encontrado,Hogar y Salud
Milpax F 500mg/10mL + 267mg/10 Ml + 160mg/10mL Suspensión Oral,50.7,No encontrado,Hogar y Salud
Misulona 200mg Cápsulas Blandas – Caja 10 UN,32.5,No encontrado,Hogar y Salud
Percof 30mg / 5ml Jarabe – Frasco 120 ML,19.0,No encontrado,Hogar y Salud
Postinor 1 Comprimido – Caja 1 UN,21.9,No encontrado,Hogar y Salud
Prednisona IQF 5mg Tableta,1.1,No encontrado,Hogar y Salud
Preservativo Piel Clásico – Caja 3 UN,4.7,No encontrado,Hogar y Salud
Preservativo Piel Con Espuelas – Caja 3 UN,4.7,No encontrado,Hogar y Salud
Preservativo Piel con Retardante – Caja 3 UN,5.8,No encontrado,Hogar y Salud
Repriman 250mg/5ml Jarabe – Frasco 50 ML,10.2,No encontrado,Hogar y Salud
Reteven 5 Mg Comprimidos,33.4,No encontrado,Hogar y Salud
Reumoflex Forte – Pote 100 G,28.9,No encontrado,Hogar y Salud
Sucralex 1g/5ml Suspensión oral – Frasco 200 ML,35.4,No encontrado,Hogar y Salud
Sulfamed NF 1% Crema Tópico – Tubo 15 G,12.4,No encontrado,Hogar y Salud
Toban F 2 Mg Tableta,6.5,No encontrado,Hogar y Salud
Tusilexil NF Jarabe – Frasco 120 ML,25.8,No encontrado,Hogar y Salud
Velamox 500 Mg Suspensión – Frasco 60 ML,26.5,No encontrado,Hogar y Salud
Velamox 750 Mg Suspensión – Frasco 70 ML,25.5,No encontrado,Hogar y Salud
Xeniler Jarabe – Frasco 60 ML,15.6,No encontrado,Hogar y Salud
Zetaler 5mg/5ml jarabe – Frasco 60 ML,37.3,No encontrado,Hogar y Salud
Zirax 200 MG/5ML Suspensión – Frasco 30 ML,32.5,No encontrado,Hogar y Salud
Paracetamol 160mg/5mL Jarabe – Frasco 90 ML,7.5,No encontrado,Hogar y Salud
Preservativo Gents Retardante – Caja 3 UN,5.8,No encontrado,Hogar y Salud
Preservativos Gents Clásico – Caja 3 UN,5.9,No encontrado,Hogar y Salud
Preservativos Gents con Espuelas – Caja 3 UN,5.9,No encontrado,Hogar y Salud
Albothyl 90 mg Óvulos Vaginal,62.4,No encontrado,Hogar y Salud
Alizar 0.05% Crema Tópica – Tubo 30 G,48.9,No encontrado,Hogar y Salud
Arcoxia 120mg Comprimido Recubierto,89.0,No encontrado,Hogar y Salud
Arcoxia 90 Mg Comprimidos Recubiertos,65.3,No encontrado,Hogar y Salud
Astarté 28 3mg/0.03mg Comprimidos Recubiertos – Caja 28 UN,28.9,No encontrado,Hogar y Salud
Bactrim Forte 400 80mg/5ml Suspensión oral – Frasco 100 ML,27.2,No encontrado,Hogar y Salud
Clenbuvent Expectorante Jarabe – Frasco 120 ML,28.5,No encontrado,Hogar y Salud
Clenvuvent Expectorante Forte 0.01mg – 15mg/5ml Jarabe – Frasco 120 ML,31.0,No encontrado,Hogar y Salud
Clinotrin 3 150mg/ml Suspensión Inyectable – Caja 1 UN,23.0,No encontrado,Hogar y Salud
Diclofenaco 75mg/3ml Solución inyectable,0.8,No encontrado,Hogar y Salud
Femelle 3 Mg-0.03 Mg Comprimidos Recubiertos – Caja 28 UN,37.4,No encontrado,Hogar y Salud
Fresh Tears 0.5% Solución Oftálmica – Frasco 15 ML,64.0,No encontrado,Hogar y Salud
Gaseovet CB 240mg Cápsula Blanda,142.2,No encontrado,Hogar y Salud
Gaseovet Compositum Cápsula Blanda,151.0,No encontrado,Hogar y Salud
Geslutin PNM 200mg Cápsula Blanda,69.2,No encontrado,Hogar y Salud
Lanzopral Heli Pack Cápsula de Liberación Retardada,298.2,No encontrado,Hogar y Salud
Mesames Mini Comprimidos Recubiertos – Caja 28 UN,28.0,No encontrado,Hogar y Salud
Metbact 500mg Tableta,12.0,No encontrado,Hogar y Salud
Metformina 850 Mg Tableta,3.7,No encontrado,Hogar y Salud
Neo Nisoprex 15mg/5ml Jarabe – Frasco 60 ML,26.5,No encontrado,Hogar y Salud
Nistazinc NF Ungüento – Tubo 15 G,19.6,No encontrado,Hogar y Salud
Nonpiron 100mg/5ml Suspensión Oral – Frasco 60 ML,11.4,No encontrado,Hogar y Salud
Ovestin 0.5 Mg Ovulos Vaginales,51.4,No encontrado,Hogar y Salud
Rowachol NF Cápsula blanda Gastrorresistente,137.0,No encontrado,Hogar y Salud
Rowatinex Cápsula Blanda,14.7,No encontrado,Hogar y Salud
Serecur 320mg Cápsula,179.9,No encontrado,Hogar y Salud
Sildenafilo 50mg Tableta Recubierta,2.1,No encontrado,Hogar y Salud
Tukol-D Jarabe – Frasco 120 ML,16.6,No encontrado,Hogar y Salud
Uroberry Pacs Forte,154.0,No encontrado,Hogar y Salud
Zymaxid 0.5% Solución Oftálmica – Frasco 5 ML,106.8,No encontrado,Hogar y Salud
Aquol Fresh 0.0125 % Colirio Solución Oftálmica – Frasco 15 ML,13.7,No encontrado,Hogar y Salud
Bronax 0.09% Solución Oftálmica Estéril – Frasco 5 ML,74.5,No encontrado,Hogar y Salud
Flumetol NF Ofteno Suspensión Oftálmica – Frasco 5 ML,71.0,No encontrado,Hogar y Salud
Gentile 0.3% Solucion Oftalmica – Frasco 5 ML,19.0,No encontrado,Hogar y Salud
Lagricel Ofteno Solución Oftálmica – Frasco 10 ML,97.9,No encontrado,Hogar y Salud
Lotesoft 0.5% Suspensión Oftálmica Estéril – Frasco 5 ML,44.8,No encontrado,Hogar y Salud
Multi-3 Plus con Aquazym Solucion Multiproposito – Frasco 120 ML,30.0,No encontrado,Hogar y Salud
Unilife Plus Lutein Capsula Blanda – Frasco 60 UN,108.3,No encontrado,Hogar y Salud
Unimox 0.5% Solución Oftálmica – Frasco 5 ML,77.8,No encontrado,Hogar y Salud
Unipred F 1% Suspension Oftalmica – Frasco 5 ML,48.8,No encontrado,Hogar y Salud
Unitears 1% Solución Oftálmica Estéril – Frasco 15 ML,37.6,No encontrado,Hogar y Salud
Unitears D Solucion Oftamica – Frasco 15 ML,40.7,No encontrado,Hogar y Salud
