Producto;Precio;PrincipioActivo
Ampicilina 500 Mg Cápsulas – Caja 100 Un;28.5;No encontrado
Atenolol 100 mg Tabletas;1.2;No encontrado
Atorvastatina 20mg Tabletas recubiertas – Caja 100 Un;1.8;No encontrado
Azitromicina 200mg/5ml Polvo para suspensión oral – Frasco 15 Ml;5.5;No encontrado
Azufre Barra – Barra 6 Un;12.1;No encontrado
Azufre Barra Zelt – Barra 2 Un;6.9;No encontrado
Bacterol Forte – Suspension 50 Ml;10.4;No encontrado
Bacterol Infantil – Suspension 60 Ml;18.4;No encontrado
Bactiomax 250mg/5ml Suspension Oral – Frasco 60 Ml;16.6;No encontrado
Bactrim 200Mg-40Mg/5Ml Polvo Para Suspensión – Frasco 100 Ml;23.2;No encontrado
Bactrim Forte 800Mg/160Mg Tabletas;5.2;No encontrado
Banes Forte 200Mg/5Ml Suspensión Oral – Frasco 60 ML;16.7;No encontrado
Belara 2Mg/0.03Mg CD – Caja 28 Un;63.1;No encontrado
Bellaface 2mg | 0.03mg Tabletas recubiertas – Caja 21 Un;47.7;No encontrado
Betacort Depot Solucion Inyectable – Caja 1 Un;30.3;No encontrado
Betaduo 1 Ml Inyección – Caja 1 Un;33.3;No encontrado
Betaduo 2 10mg | 4mg/2ml Suspensión inyectable – Caja 1 Un;46.5;No encontrado
Betametasona ACF 0.05% Crema Tópica – Tubo 20 G;2.6;No encontrado
Betasporina 1 GR Polvo Solución Inyectable – Caja 1 Un;17.6;No encontrado
Bi Profenid 150mg Comprimido – Caja 10 Un;46.0;No encontrado
BioGaia Protectis 19mg/ml Suspensión Oral – Frasco 5 Ml;54.6;No encontrado
Bismecol 87.33mg/5ml Suspension Oral – Frasco 150 Ml;12.9;No encontrado
Bismualiv (Sob/2Tab) Tabletas Masticables;1.5;No encontrado
Bismutol 262Mg (Sob/2Tab) Tabletas Masticables;1.6;No encontrado
Bismutol 87.33Mg/5Ml – Suspension 340 Ml;24.4;No encontrado
Bladuril 200Mg Comprimidos;52.0;No encontrado
Brimordin 600 Mg Tabletas Efervescentes;9.2;No encontrado
Brunelle 2 | 0.03 Mg Comprimido recubierto – Caja 21 Un;39.8;No encontrado
Budesma 200mcg Suspension para Inhalacion – Frasco 200 Dosis;63.0;No encontrado
Budesonida 200Mcg Inhalador – Aerosol 200 Dosis;51.0;No encontrado
Buscapina Compositum N 10Mg/500Mg Comprimidos;11.8;No encontrado
Calcibone D3 1500mg-800UI Tabletas Recubiertas – Frasco 30 Un;74.9;No encontrado
Calcibone D3 Tabletas Recubiertas – Frasco 60 Un;129.6;No encontrado
Cardiospirina 100EC Comprimidos con cubierta entérica – Caja 20 Un;18.0;No encontrado
Cefacrol 1G Polvo para Inyección – Caja 1 Un;17.5;No encontrado
Cefadroxilo Farm 500 Mg Cápsulas;11.1;No encontrado
Ceftriaxona 1G Inyectable;3.5;No encontrado
Cefuroxima Pharg 500 Mg Tabletas – Caja 10 Un;42.0;No encontrado
Cetirizina Fmd 10Mg Tabletas;10.0;No encontrado
Cetirizina Ptg 5Mg/5Ml Jarabe – Frasco 60 Ml;3.8;No encontrado
Cgura 0.15mg/0.03mg Tabletas Recubiertas – Caja 21 Un;6.5;No encontrado
Ciprolin 500 Mg Tabletas Recubiertas – Lata 400 G;44.0;No encontrado
Cipronor 200 Mg/100 Ml Inyectable IV – Frasco 100 ML;6.7;No encontrado
Ciriax 500mg Comprimido Recubierto;34.5;No encontrado
Ciriax Otic 0.2%-1% Suspensión Gotas Oticas – Frasco 5 Ml;26.0;No encontrado
Ciruelax Comprimidos;72.0;No encontrado
Ciruelax Forte Comprimidos Recubiertos;112.2;No encontrado
Ciruelax Jalea – Pote 150 G;23.0;No encontrado
Ciruelax Liquido – Frasco 120 Ml;19.5;No encontrado
Clixdin 100mg Ovulo Vaginal – Caja 7 Un;51.8;No encontrado
Clobetasol ACF 0.05% Crema tópica – Tubo 25 G;5.6;No encontrado
Clobetasol FMD 0.05% Crema – Tubo 25 G;4.4;No encontrado
Clobuler Duo Forte 15/0.01mg/5ml Jarabe – Frasco 120 mL;17.7;No encontrado
Clobuler F 30mg/5ml Jarabe – Frasco 100 Ml;16.0;No encontrado
Clorfenamina Maleato 2mg/5 mL – Frasco 120 Ml;2.5;No encontrado
Clorfenamina maleato 4mg Tableta – Caja 100 Un;0.5;No encontrado
Clotrimazol FMD 1% Crema – Tubo 40 G;8.0;No encontrado
Clotrimazol 1% Crema Portugal – Tubo 20 G;2.3;No encontrado
Cluvax Cápsula Blanda Vaginal – Caja 3 Un;38.4;No encontrado
Colirio Eyemo 0.05% Solucion oftálmica – Frasco 12 Ml;10.8;No encontrado
Colirio Eyemo 0.05% Solución Oftalmica – Frasco 8 Ml;9.8;No encontrado
Colufase 100mg/5ml Polvo para Suspensión – Frasco 60 ML;31.3;No encontrado
Colufase 500mg Tableta Recubierta – Caja 6 Un;26.0;No encontrado
Comtrex Antigripal Dia (Sobre 5 Gr);2.0;No encontrado
Comtrex Antigripal Noche (Sobre 5 Gr);2.0;No encontrado
Crema Adhesiva Corega Ultra Sabor Menta – Tubo 20 G;26.9;No encontrado
Crema Adhesiva Corega Ultra Sabor Menta – Tubo 40 G;38.0;No encontrado
Crema Adhesiva Corega Ultra sin Sabor – Tubo 20 G;26.9;No encontrado
Crema Adhesiva Corega Ultra sin Sabor – Tubo 40 G;38.0;No encontrado
Corentel 5Mg Comprimidos;72.8;No encontrado
Cortiflex 50 Mg- 5 Ml Suspensión Inyectable – Frasco 5 Ml;40.5;No encontrado
Cutivate 0.05 % Crema Tópica – Tubo 15 G;58.8;No encontrado
Decorpred 4mg Tableta – Caja 100 Un;16.0;No encontrado
Deflazym 30mg Tableta – Caja 10 Un;52.0;No encontrado
Deflazym 6mg Tableta – Caja 10 Un;28.4;No encontrado
Dentigel Frambuesa 7.5% Gel Topico Bucal- Tubo 8 G;19.5;No encontrado
Dermafar D Crema Tópica – Tubo 35 G;18.4;No encontrado
Dermovate Crema – Tubo 30 Gr;35.2;No encontrado
Dermovate Ungüento – Tubo 40 Gr;48.0;No encontrado
Desinprox 550Mg Tabletas Recubiertas;15.0;No encontrado
Desloratadina 2.5 mg/5ml Jarabe Genfar – Frasco 60 Ml;22.4;No encontrado
Dexaflam 0.5mg/5ml Jarabe – Frasco 100 Ml;17.9;No encontrado
Dexcortil 4Mg/2Ml Inyectable;8.0;No encontrado
Dextrometorfano 15Mg/5Ml Jarabe – Frasco120 mL;3.8;No encontrado
Diane 35 Grageas – Caja 21 Un;30.0;No encontrado
Dibrolax 5Mg Tabletas;10.6;No encontrado
Diclofenaco Genfar 50 mg Tableta – Caja 30 Un;5.0;No encontrado
Diclofenaco 1% Portugal Gel – Tubo 50 G;3.7;No encontrado
Dicloxacilina 250mg/5ml Suspensión – Frasco 60 Ml;5.2;No encontrado
Dicynone 250Mg/2Ml Inyectable – Caja 1 Un;25.5;No encontrado
Dimenhidrinato 50mg Tableta – Caja 100 Un;1.0;No encontrado
Dolofinaldol 2% Gel Tópico – Tubo 50 G;20.9;No encontrado
Dolonet Forte 400Mg Capsulas;9.7;No encontrado
Doloral 100Mg/5Ml – Suspension 60 Ml;13.1;No encontrado
Doloral 40Mg/Ml – Suspension 15 Ml;14.2;No encontrado
Dowall’s 415mg/5ml Suspensión Oral – Frasco 150 mL;7.8;No encontrado
Doxiproct Plus Pomada – Tubo 12 Gr;31.9;No encontrado
Doxiproct Pomada – Tubo 12 Gr;32.3;No encontrado
Doxium 500Mg Capsulas;32.0;No encontrado
Dulsuc Tableta Endulzante – Frasco 500 Un;20.9;No encontrado
Duo Ventimax ECO 100 Mcg – 50 Mcg Inhalador – Frasco 200 DSS;40.8;No encontrado
Enalapril Fmd 10Mg Tabletas – Caja 140 Un;7.0;No encontrado
Enalapril 10Mg Tabletas – Caja 100 Un;0.6;No encontrado
Enterogermina Bebibles – Caja 10 Ampollas;37.0;No encontrado
Ergico 2.5mg/5ml Solucion Oral – Frasco 60 Ml;28.5;No encontrado
Esomeprazol 20mg Tabletas de Liberación Retardada – Caja 30 Un;19.7;No encontrado
Esoton 40 Mg Cápsulas;126.5;No encontrado
Evalax Polvo para solución oral;6.5;No encontrado
Farma D 2000 UI Cápsula blanda – Frasco 60 Un;90.0;No encontrado
Femstat 100Mg – Caja 3 Óvulos;62.0;No encontrado
Finartrit Advanced Msm Sobre;109.0;No encontrado
Flora Balance Bebible Suspension Oral – Caja 10 Un;32.0;No encontrado
Floratil 250 Mg Capsulas – Caja 10 Un;31.1;No encontrado
Floratil 250 Mg Polvo para Suspensión Oral – Caja 10 Un;33.0;No encontrado
Floril 0.03% Colirio Gotas Oftalmica – Frasco 8 Ml;8.6;No encontrado
Fluconazol Fmd 150 mg Cápsula – Caja 2 UN;2.0;No encontrado
Flucostat 200Mg – Caja 1 Tab;8.7;No encontrado
Fluibroncol 100mg/5ml Jarabe – Frasco 120 mL;24.5;No encontrado
Fluimax 100mg/5ml Solución Oral – Frasco 120 mL;22.2;No encontrado
Fluimucil 300 Mg/3 Ml Solución Inyectable – Caja 5 Un;52.7;No encontrado
Fluimucil 600 Mg Comprimidos Efervescentes;3.5;No encontrado
Flumil 150 mg Cápsula – Caja 1 UN;5.8;No encontrado
Freegen 0.5% Solución Oftálmica – Frasco 15 Ml;36.6;No encontrado
Freegen Gel 1% Solución Oftálmica – Frasco 15 Ml;40.4;No encontrado
Funcaden 1% Crema Topica – Tubo 20 G;24.4;No encontrado
Furacin Pomada Tópica – Tubo 35 G;51.3;No encontrado
Gaseovet Anis 80Mg/Ml Gotas – Frasco 15 Ml;24.5;No encontrado
Gaseovet Fresa 80Mg/Ml Gotas – Frasco15 Ml;24.5;No encontrado
Gaseovet MS 800/60Mg/10ml Suspension Oral – Frasco 220 Ml;27.5;No encontrado
Gasmoci Pri 200Mg Capsulas;44.5;No encontrado
Gastroaliv 30mg Cápsulas de Liberación Retardada;18.0;No encontrado
Gastroral 800/60mg/10ml Suspension Oral – Frasco 200 Ml;17.0;No encontrado
Gel Lubricante Intimo Love Pleasure – Tubo 120 G;22.4;No encontrado
Gel Lubricante Intimo Love Sensitive – Tubo 120 G;20.7;No encontrado
Gemfibrolip 600Mg Tabletas;36.5;No encontrado
Gensarna 25% Locion – Frasco 60 Ml;10.5;No encontrado
Gentamicina 0.3% Gotas Oftálmicas – Frasco Gotero 5 Ml;4.8;No encontrado
Germiderm Crema – Tubo 20 Gr;15.0;No encontrado
Gingisona B Solución Spray – Frasco 15 Ml;29.0;No encontrado
Ginna 0.02g/g Crema Vaginal – Tubo 40 Gr;53.5;No encontrado
Glibenclamida Iqf 5Mg Tabletas;0.7;No encontrado
Glicenex 850Mg Comprimidos;78.3;No encontrado
Glicenex Duo 500Mg/2.5Mg Comprimidos;60.7;No encontrado
Glicenex Duo 500Mg/5Mg Comprimidos;65.5;No encontrado
Glicenex Sr 750Mg;51.2;No encontrado
Glycolax 17 G Polvo para Solución Oral;60.0;No encontrado
Gotabiotic Plus Suspensión Oftálmica – Frasco 5 Ml;38.3;No encontrado
Gravelox 50Mg Tabletas;14.0;No encontrado
Grifantil Jarabe – Frasco 60 Ml;26.8;No encontrado
Gripa C Junior Tabletas Masticables;3.2;No encontrado
Hadensa NF 100mg+2.5mg Supositorio – Caja 10 Un;69.0;No encontrado
Hansaplast Parche Leon Arnica – Sobre 1 Un;7.9;No encontrado
Hidrosona Crema Tópica – Tubo 20 G;28.5;No encontrado
Hidrotears 0.3% Solución Oftálmica – Frasco 15 Ml;46.4;No encontrado
Hiedratos 35 Mg-5 Ml Jarabe – Frasco 100 Ml;23.4;No encontrado
Higanatur 500 Mg Cápsula blanda;60.0;No encontrado
Hirudoid Forte Gel – Tubo 14 Gr;24.0;No encontrado
Hirudoid Forte Gel – Tubo 25 G;42.5;No encontrado
Hirudoid Forte 0.445% Crema – Tubo 14 G;23.3;No encontrado
Hirudoid Forte 0.445% Crema – Tubo 25 G;42.5;No encontrado
Hirudoid Pomada – Tubo 14 Gr;13.1;No encontrado
Histalex 5Mg Tabletas;30.0;No encontrado
Humed 0.3% Lagrimas Artificiales Solución Oftálmica – Frasco 15 Ml;11.9;No encontrado
Hyalo Comfort Solucion oftálmica – Frasco 10 Ml;30.9;No encontrado
Ibuprofeno 400 Mg Tableta recubierta – Caja 100 Un;13.0;No encontrado
Ibuprofeno Gnf 100mg/5ml Suspensión Oral – Frasco 120 ML;5.0;No encontrado
Idelle 0.1% Crema Vaginal – Tubo 15 G;35.5;No encontrado
Idelle 0.5mg Ovulo Vaginal – Caja 7 Un;37.8;No encontrado
Irbesartan 150 Mg Tabletas;5.2;No encontrado
Irbesartan 300Mg Tabletas;14.6;No encontrado
Isoface 20mg Cápsulas blandas – Caja 30 Un;144.7;No encontrado
Isoprinosine 250 Mg/5Ml Jarabe – Frasco 120 Ml;85.2;No encontrado
Isoprinosine 500 Mg Tableta – Caja 24 Un;85.3;No encontrado
Ketoconazol 2% Crema – Tubo 20 G;3.1;No encontrado
Ketorolaco Gnf 30Mg/Ml Inyectable Intramuscular Intravenoso;1.8;No encontrado
Lactulosa 3.3G/5Ml Solución Oral – Frasco 120 Ml;10.0;No encontrado
Lagricel Ofteno 4 mg/mL Solución Oftálmica – Caja 20 UN;87.3;No encontrado
Lansoprazol 30 mg Genfar Cápsulas – Caja 7 Un;6.0;No encontrado
Lasix 40Mg Tabletas;17.4;No encontrado
Laxanova NF 4g/4ml Solución Rectal;48.0;No encontrado
Leche Magnesia Cereza 400 MG/5ML – Frasco 120 Ml;8.3;No encontrado
Leche Magnesia Ciruela 400Mg/5Ml – Suspensión 120 Ml;8.3;No encontrado
Leche Magnesia Clasica 425 MG/5ML – Frasco 360 Ml;21.1;No encontrado
Leche Magnesia Clásica 425Mg/5Ml – Suspensión 120 Ml;7.9;No encontrado
Leche Magnesia Kids Durazno 400Mg/5Ml – Suspensión120 Ml;8.3;No encontrado
Lergimax 2mg/5ml Jarabe – Frasco 120 Ml;13.5;No encontrado
Lergimax 4Mg;5.5;No encontrado
Lincocin 600Mg/2Ml Ampolla – Caja 1 Un;24.5;No encontrado
Lincomicina 600 mg/2ml Solución Inyectable Genfar – Caja 6 Un;15.9;No encontrado
Lincoplus 600Mg/2Ml Intramuscular Intravenoso Inyectable;13.0;No encontrado
Lipebin 3.33g|5ml Solución Oral – Frasco 90 ML;36.2;No encontrado
Lipelosa 3.33g/5ml Jarabe – Frasco 180 Ml;28.5;No encontrado
Locarmec 50Mg;55.0;No encontrado
Lomecan V 2% Crema Vaginal – Tubo 20 G;36.6;No encontrado
Loralab D 10Mg;10.0;No encontrado
Loratadina 10Mg Tabletas;0.5;No encontrado
Loratadina 5Mg/5Ml Jarabe – Frasco 60 Ml;4.7;No encontrado
Macrodantina XR 100 mg Cápsulas;71.6;No encontrado
Magal -D Suspensión – Frasco 200 Ml;28.5;No encontrado
Marvelon – Caja 21 Un;18.1;No encontrado
Mason Calcium Citrate Tableta – Frasco 60 Un;71.5;No encontrado
Mason Lecithin Soya 1200mg Capsula Blanda – Frasco 100 Un;75.9;No encontrado
Mebendazol IQ 100mg/5ml Suspensión oral – Frasco 30 mL;4.2;No encontrado
Mecodolfen 100mg/5ml Suspensión Oral – Frasco 60 Ml;9.9;No encontrado
Mecofase 100mg/5ml Suspensiòn Oral – Frasco 60 Ml;33.5;No encontrado
Mecoflaxin 500Mg Tableta Recubierta – Caja 10 Un;55.0;No encontrado
Mecoflaxin 750mg Tableta Recubierta – Caja 7 Un;52.5;No encontrado
Mecohelix 35mg/5ml Jarabe – Frasco 120 Ml;17.9;No encontrado
Meconadol 120mg/5ml Solución Oral – Frasco 120 Ml;13.9;No encontrado
Mecoprasol 40 Mg;39.4;No encontrado
Mecoxibac CL F 875/125mg Tableta Recubierta – Caja 10 Un;58.0;No encontrado
"Medicilina 1’000;000 UI Polvo para Solucion Inyectable – Caja 1 Un";26.9;No encontrado
Medicortil 10mg/1mg/ml Solucion Oftalmica – Frasco 2.5 Ml;10.2;No encontrado
Medipiel B Crema – Tubo 20 G;15.0;No encontrado
Mentholatum Ungüento- Pote 30 Gr;6.9;No encontrado
Mentholatum Ungüento- Pote 85 Gr;12.5;No encontrado
Merifar 10Mg/2Ml Im Iv Inyectable;15.2;No encontrado
Merifar 4mg/ml Solucion Oral Gotas – Frasco 15 Ml;18.9;No encontrado
Mesigyna Instayect X1 Jeringa + Inyectable – Caja 1 Inyectable;20.0;No encontrado
Metformina 500mg Tabletas recubiertas;15.3;No encontrado
Metformina Gnf 850mg Tabletas recubiertas – Caja 30 Un;9.7;No encontrado
Metrodil 500mg Ovulo Vaginal – Caja 10 Un;24.0;No encontrado
Metrofem L Ovulo Vaginal – Caja 10 Un;36.0;No encontrado
Metronidazol 250Mg/5Ml – Suspensión 60 Ml;6.2;No encontrado
Micodym 1% Crema Topica – Tubo 30 G;18.9;No encontrado
Microgynon Grageas – Caja 21 un;9.6;No encontrado
Minociclina 100mg Cápsula – Caja 10 Un;28.8;No encontrado
Mometaliv 0.1% Crema Topica – Tubo 15 G;19.1;No encontrado
Monurol 3G Granulado para Solución Oral – Caja 1 Un;59.6;No encontrado
Moviflex – Spray 30 ML;37.7;No encontrado
Moviflex – Spray 50 ML;44.7;No encontrado
Mucosolvan 30mg/5ml Jarabe Adulto – Frasco 120 Ml;27.0;No encontrado
Mucosolvan Compositum Pediátrico 7.5mg-0.005 mg /5ml Jarabe – Frasco 120ml;28.9;No encontrado
Mucosolvan Compositum 15mg – 0.01 mg/5ml Jarabe – Frasco 120 Ml;26.1;No encontrado
Mucotrim 7.5mg/ml Suspensión Oral Gotas – Frasco 20 mL;17.0;No encontrado
Mucotrim Dilat Jarabe – Frasco 120 Ml;20.5;No encontrado
Mucovit Crema – Tubo 30 Gr;26.0;No encontrado
Multi Confort Solucion Multiproposito – Frasco 120 Ml;27.9;No encontrado
Multi Confort Solucion Multiproposito – Frasco 60 Ml;17.5;No encontrado
Multiderm Crema – Tubo 10 G;17.0;No encontrado
Multiflora Advance Cápsula – Caja 30 Un;120.0;No encontrado
Mupibiot 2% Ungüento Tópico – Tubo 15 G;25.9;No encontrado
Muvett 300 Mg Tabletas;58.0;No encontrado
Muvett SM Tabletas – Caja 21 UN;61.0;No encontrado
Nasodil Solucion Gotas Nasales – Frasco 15 Ml;7.5;No encontrado
Nastizol Junior Tabletas Masticables;6.2;No encontrado
Nepafen 0.1% Suspensión Oftálmica – Frasco 5 Ml;68.0;No encontrado
Neumocort 200 Mcg/dosis Aerosol para inhalación – Frasco 200 Dss;60.9;No encontrado
Nikzon Tabletas Masticables;12.8;No encontrado
Nimocitan K Tableta de Liberacion Prolongada – Frasco 14 Un;28.5;No encontrado
Nitoxadin 500mg Tableta Recubierta – Caja 6 Un;27.0;No encontrado
Nodial Crema Dérmica – Tubo 10 G;11.3;No encontrado
Nopucid 10 (Shampoo Y accondicionador) 2 en 1 Sachets;2.5;No encontrado
Norflex Plus 35 Mg- 450 Mg Tabletas – Caja 10 Un;28.0;No encontrado
Normix 200 Mg Tabletas Recubiertas – Caja 12 Un;62.4;No encontrado
Notil Crema – Tubo10 Gr;14.4;No encontrado
Novocortil 1% Crema – Tubo 20 G;30.1;No encontrado
Nucleo CMP Forte Cápsulas – Caja 20 Un;66.0;No encontrado
Olomuc Solución oftálmica – Frasco 5 Ml;49.3;No encontrado
Omeprazol Ptg 20mg Cápsula de Liberación Retardada – Caja 100 UN;14.0;No encontrado
Oralsone Topic Solución Tópica – Frasco 20 mL;26.9;No encontrado
Oseomax 70Mg Tableta – Caja 4 Un;25.6;No encontrado
Otidol Solución otica – Frasco 5 Ml;14.4;No encontrado
Otozambon NF Gotas – Frasco 10 Ml;18.2;No encontrado
Oxido De Zinc Alkofarma Polvo – Frasco 50 G;4.5;No encontrado
Paltomiel Adulto – Jarabe 200 Ml;18.9;No encontrado
Panadol 100mg/ml Solución oral gotas – Frasco 15 ML;15.0;No encontrado
Panadol 160mg/5ml Jarabe – Frasco 60 ML;15.0;No encontrado
Paracetamol 100mg/ml Solución oral gotas – Frasco 10 ML;1.5;No encontrado
Paracetamol Ptg 120Mg/5Ml C/Caja – Jarabe 120 Ml;3.4;No encontrado
Paracetamol Ptg 120Mg/5Ml Jarabe – Jarabe 60 Ml;2.1;No encontrado
Piascledine 300 Mg Cápsula;167.0;No encontrado
Pluserec 100mg Tableta Recubierta – Caja 2 Un;21.8;No encontrado
Pluserec 50mg Tableta Recubierta – Caja 4 Un;31.6;No encontrado
Polilax Polvo Sobres;5.7;No encontrado
Predcort 25mg/5ml Solucion Oral – Frasco 60 Ml;28.5;No encontrado
Prednisona 50mg Tableta – Caja 100 Un;4.5;No encontrado
Pregabalina 150 Mg Cápsula;22.3;No encontrado
Pregabalina 75 Mg Cápsula;15.0;No encontrado
Preservativo Sensation Manzana Liso – Caja 3 Un;5.0;No encontrado
Preservativo Sensation Vainilla con Anillos – Caja 3 Un;5.0;No encontrado
Preservativos Durex Clásico – Caja 3 Un;7.8;No encontrado
Preservativos Durex Máximo Placer – Caja 3 Un;10.7;No encontrado
Preservativos Durex Placer Prolongado – Caja 3 Un;11.1;No encontrado
Presevativos Sensation Fresa con Puntos – Caja 3 Un;5.0;No encontrado
Presicaptil 25Mg;14.5;No encontrado
Profeket 2.5% Gel – Tubo 30 G;25.4;No encontrado
Propoleo Superfood Jarabe – Frasco 220 Ml;25.9;No encontrado
Prostanatur 320 Mg Capsulas;87.0;No encontrado
Pyridium 100Mg;16.5;No encontrado
Qlaira Comprimidos Recubiertos – Caja 28 Un;52.5;No encontrado
Quadriderm Extra Sp Crema – Tubo 10 Gr;14.0;No encontrado
Ragilon 40mg Comprimidos – Caja 10 Un;11.8;No encontrado
Refreskan-T Plus Solución oftálmica – Frasco 15 Ml;32.8;No encontrado
Reumafrost NF Ungüento – Pote 100 G;19.9;No encontrado
Rigaminol 160mg/2ml Solucion Inyectable – Caja 1 Un;20.0;No encontrado
Roxtrim Forte 400/80mg/5ml Suspensión Oral – Frasco 60 Ml;16.0;No encontrado
Rynat D Gotas Nasales – Frasco 15 Ml;30.1;No encontrado
Sal De Andrews Efervecente;0.9;No encontrado
Sal De Andrews Triple Accion;1.2;No encontrado
Salbutamol Phg 100Mcg Inhalador – Aerosol 200 Dosis;7.5;No encontrado
Salbutamol 2 Mg/5 Ml Jarabe – Frasco 120 ML;2.7;No encontrado
Secnidazol Gnf 500 Mg – Caja 4 Un;5.9;No encontrado
Selene 0.035mg-2.0mg Comprimido Recubierto – Caja 21 Un;32.0;No encontrado
Seretide 25 Mcg-125 Mcg/ Dosis – Frasco 120 Dosis;172.8;No encontrado
Serotocaf 250mg/5ml Suspensión Oral – Frasco 60 Ml;23.2;No encontrado
Shampoo Nopucid 10 2en1 – Frasco 60 Ml;19.9;No encontrado
Shampoo Quitoso Plus 1% – Frasco 60 Ml;16.6;No encontrado
Sildenafilo Mfn 100Mg – Caja 1 Un;2.8;No encontrado
Silka Medic Gel 1% – Tubo 15 Gr;22.5;No encontrado
Sitiderm NF Crema – Tubo 10 G;9.1;No encontrado
Solouna 5 Solucion Inyectable – Caja 1 Un;17.7;No encontrado
Soluna NF Solución Inyectable – Caja 1 Un;24.3;No encontrado
Solutres 150 mg/ml Solución Inyectable – Caja 1 Un;25.7;No encontrado
Sucralflam 1G/5ml Suspension Oral – Frasco 200 Ml;29.9;No encontrado
Supositorio De Glicerina Para Niños Uso Rectal – Caja 100 Un;35.9;No encontrado
Supositorio Glicerina Adulto;3.9;No encontrado
Systalan Ultra Solución Oftálmica – Frasco 10 Ml;57.0;No encontrado
Tamisa 20 – Caja 21 Un;27.2;No encontrado
Tamsulon Duo 0.5 – 0.4 Mg Cápsula – Caja 30 UN;163.3;No encontrado
Tensodox 5Mg;39.5;No encontrado
Terbifun 1% Solucion Tópica Spray – Frasco 30 Ml;27.5;No encontrado
Terbinafina 1% Crema – Tubo 20 G;5.0;No encontrado
Alcohol Medicinal 70° – Frasco 120 Ml;2.5;No encontrado
Terramisol- A Ungüento Oftálmico – Tubo 6 G;11.6;No encontrado
Tiazid 12.5 Mg Tableta;10.4;No encontrado
Tiazid 25 Mg Tableta;12.0;No encontrado
Tilo Infusión En Hojas Sobre – Caja 50 Un;30.0;No encontrado
Tinidazol 500 mg Tableta Recubierta Genfar – Caja 8 Un;6.8;No encontrado
Tintura de Árnica Solución – Frasco 30 ML;1.7;No encontrado
Topicrem Crema – Tubo 10 G;11.9;No encontrado
Topimicyn NF Ungüento Antibacteriano – Tubo 14 G;23.8;No encontrado
Tosalbron Infantil 28mg/5ml Jarabe – Frasco 100 Ml;14.4;No encontrado
Tosalbron NF Adulto 50mg/5ml Jarabe – Frasco 100 Ml;15.3;No encontrado
Transamin 250Mg – Caja 12 Un;58.2;No encontrado
Trinaler 5% Crema Topica – Tubo 10 G;30.0;No encontrado
Tropivag Cápsula Vaginal – Frasco 14 Un;47.8;No encontrado
Tructum 0.3% Solución Ótica – Frasco 10 Ml;73.4;No encontrado
Ulcestop 20Mg;10.0;No encontrado
Urocit K 1080Mg – Frasco 14 UN;33.6;No encontrado
Urofurin 25mg/5ml Suspension Oral – Frasco 120 Ml;31.4;No encontrado
Vagisten 0.5 Mg Óvulo – Caja 10 Un;51.0;No encontrado
Vagisten Crema Vaginal – Tubo 15 Gr;36.9;No encontrado
Varidem Gel Antivaricoso – Tubo 40 G;33.9;No encontrado
Varixina 50 Mg Cápsula Blandas;30.0;No encontrado
Varixina gel – Tubo 40 G;45.0;No encontrado
Vaselina Reuter Grande Con Perfume – Lata 1 Un;2.0;No encontrado
Vaselina Reuter Grande Sin Perfume – Lata 1 Un;2.0;No encontrado
Vaselina Solida – Pote 50 G;4.5;No encontrado
Vasotenal EZ 20/10 Comprimido Recubierto;109.5;No encontrado
Ventimax 100Mcg Inhalador – Aerosol 250 Dosis;27.0;No encontrado
Ventolin 100mcg Suspension para Inhalacion – Frasco 200 Dosis;22.0;No encontrado
Vinagre Bully – Frasco 120 Ml;1.6;No encontrado
Vinagre Bully – Frasco 240 Ml;5.3;No encontrado
Vinagre Tipo Bully – Frasco 500 Ml;7.3;No encontrado
Violeta Genciana – Frasco 30 Ml;1.6;No encontrado
Violeta Genciana – Frasco 60 Ml;2.7;No encontrado
Xeniler 10mg/ml Solucion Oral Gotas – Frasco 15 Ml;25.5;No encontrado
Xilocaina 2% Jalea Tópica – Tubo 30 G;24.5;No encontrado
Xilonest 5% Pomada – Tubo 10 Gr;29.5;No encontrado
Yasmin – Caja 21 Un;35.5;No encontrado
Yasminiq – Caja 28 Un;46.3;No encontrado
Zetaler 10Mg/Ml Gotas – Frasco 15 Ml;34.8;No encontrado
Zinasen 10Mg;54.6;No encontrado
Zmol 100Mg/Ml Solucion Oral Gotas – Frasco 15 Ml;9.5;No encontrado
Zoltum 40Mg – Caja 14 Un;95.8;No encontrado
